1.00000,    1344,    -1.99725,    0.02227
1.10000,    3117,    -1.99499,    0.04008
1.20000,    6119,    -1.98870,    0.09352
1.30000,    10363,    -1.98298,    0.14902
1.40000,    16998,    -1.97200,    0.24092
1.50000,    26524,    -1.95669,    0.37653
1.60000,    39150,    -1.93731,    0.58915
1.70000,    55201,    -1.91089,    0.80040
1.80000,    77931,    -1.87741,    1.23896
1.90000,    105958,    -1.83767,    1.66029
2.00000,    145982,    -1.78281,    2.50918
2.10000,    194327,    -1.71787,    3.10239
2.20000,    255504,    -1.64101,    4.31987
2.30000,    324143,    -1.55963,    4.97258
2.40000,    423619,    -1.43429,    6.48262
2.50000,    492580,    -1.35942,    6.06085
2.60000,    579506,    -1.25703,    6.32783
2.70000,    674312,    -1.15089,    5.42487
2.80000,    725551,    -1.09898,    5.24731
2.90000,    794718,    -1.02745,    4.20109
3.00000,    850353,    -0.97491,    4.25470
