1.00000,    53154,    -1.69772,    0.39797
1.10000,    72819,    -1.65865,    2.02919
1.20000,    90764,    -1.63108,    1.15969
1.30000,    94056,    -1.67853,    1.98988
1.40000,    101347,    -1.64672,    1.08750
1.50000,    108958,    -1.66053,    1.34339
1.60000,    138820,    -1.62273,    1.69689
1.70000,    197598,    -1.53989,    2.92354
1.80000,    219429,    -1.53173,    2.74076
1.90000,    293015,    -1.41315,    3.14694
2.00000,    341578,    -1.38368,    4.90097
2.10000,    389928,    -1.32705,    4.95544
2.20000,    470871,    -1.22401,    5.22364
2.30000,    542519,    -1.14747,    4.95351
2.40000,    640320,    -1.01390,    4.44765
2.50000,    692703,    -0.98284,    3.85542
2.60000,    755253,    -0.91585,    4.37160
2.70000,    804296,    -0.86494,    3.61566
2.80000,    854888,    -0.83325,    3.31981
2.90000,    906954,    -0.77231,    3.19854
3.00000,    945901,    -0.73643,    3.57288
